节点位移  单位：m
  节点号         x方向位移               y方向位移
     1         1.11596321e-21         -1.80611491e-21
     2         1.41102496e-21         -3.25727444e-21
     3         1.31629042e-21         -3.51646911e-21
     4         1.26329507e-21         -3.46033547e-21
     5         1.26434921e-21         -3.30908856e-21
     6         1.30082882e-21         -3.07908516e-21
     7         1.36431226e-21         -2.75703062e-21
     8         1.42556142e-21         -2.29103015e-21
     9         1.82069360e-21         -2.71886453e-21
    10         2.56443225e-06         -1.17959132e-06
    11         1.58787450e-06         -2.53157502e-06
    12         1.42443239e-06         -2.58322608e-06
    13         1.34977424e-06         -2.57242345e-06
    14         1.33355645e-06         -2.48775544e-06
    15         1.35836351e-06         -2.35435868e-06
    16         1.41032944e-06         -2.15998766e-06
    17         1.46862944e-06         -1.87636459e-06
    18         1.44174158e-06         -1.40781046e-06
    19         4.35641969e-06         -2.98183884e-06
    20         3.33836826e-06         -4.63450246e-06
    21         2.82612452e-06         -4.96121426e-06
    22         2.63710298e-06         -4.94673864e-06
    23         2.56515937e-06         -4.81323264e-06
    24         2.57128685e-06         -4.57929177e-06
    25         2.62378600e-06         -4.23462570e-06
    26         2.68013241e-06         -3.72789347e-06
    27         2.64872693e-06         -2.92884038e-06
    28         5.78401073e-06         -5.04703818e-06
    29         4.83277523e-06         -6.58839661e-06
    30         4.17551357e-06         -7.08623614e-06
    31         3.83889231e-06         -7.12518430e-06
    32         3.69072349e-06         -6.96510146e-06
    33         3.64996488e-06         -6.66281927e-06
    34         3.67109790e-06         -6.20648989e-06
    35         3.70177327e-06         -5.53822009e-06
    36         3.65920725e-06         -4.52168639e-06
    37         6.90117712e-06         -7.18259416e-06
    38         6.05174848e-06         -8.46722911e-06
    39         5.36385410e-06         -9.01088706e-06
    40         4.93151629e-06         -9.10197532e-06
    41         4.70151634e-06         -8.94047278e-06
    42         4.60206555e-06         -8.59616905e-06
    43         4.57712339e-06         -8.06426788e-06
    44         4.57212767e-06         -7.28911206e-06
    45         4.51632191e-06         -6.14581447e-06
    46         7.75055711e-06         -9.28652459e-06
    47         7.00924780e-06         -1.02783652e-05
    48         6.35135194e-06         -1.07780624e-05
    49         5.87854693e-06         -1.08923843e-05
    50         5.58705650e-06         -1.07395753e-05
    51         5.43064583e-06         -1.03757002e-05
    52         5.35766501e-06         -9.79970475e-06
    53         5.31626466e-06         -8.96398496e-06
    54         5.24855207e-06         -7.76382803e-06
    55         8.36619644e-06         -1.12997193e-05
    56         7.72875479e-06         -1.20077180e-05
    57         7.13014643e-06         -1.24115368e-05
    58         6.65878075e-06         -1.25162444e-05
    59         6.33457309e-06         -1.23696522e-05
    60         6.13499485e-06         -1.20014829e-05
    61         6.02096494e-06         -1.14075420e-05
    62         5.94859007e-06         -1.05486409e-05
    63         5.87237568e-06         -9.34296729e-06
    64         8.77655283e-06         -1.31845212e-05
    65         8.23512108e-06         -1.36359798e-05
    66         7.70800392e-06         -1.39205490e-05
    67         7.26558726e-06         -1.39898788e-05
    68         6.93563634e-06         -1.38412679e-05
    69         6.71205992e-06         -1.34770749e-05
    70         6.56972635e-06         -1.28851030e-05
    71         6.47541957e-06         -1.20317661e-05
    72         6.39516321e-06         -1.08560776e-05
    73         9.00670452e-06         -1.49146993e-05
    74         8.55258454e-06         -1.51441824e-05
    75         8.10010922e-06         -1.53053221e-05
    76         7.70278386e-06         -1.53237420e-05
    77         7.38808709e-06         -1.51645810e-05
    78         7.15942716e-06         -1.48078488e-05
    79         7.00344763e-06         -1.42318097e-05
    80         6.89765813e-06         -1.34049901e-05
    81         6.81802721e-06         -1.22821314e-05
    82         9.07999910e-06         -1.64706297e-05
    83         8.70467899e-06         -1.65152825e-05
    84         8.32524033e-06         -1.65610287e-05
    85         7.98104054e-06         -1.65226494e-05
    86         7.69577472e-06         -1.63471149e-05
    87         7.47737165e-06         -1.59990129e-05
    88         7.32106696e-06         -1.54481640e-05
    89         7.21357459e-06         -1.46624938e-05
    90         7.13872074e-06         -1.36061574e-05
    91         9.01923786e-06         -1.78369013e-05
    92         8.71472286e-06         -1.77343883e-05
    93         8.40417872e-06         -1.76802204e-05
    94         8.11553699e-06         -1.75868501e-05
    95         7.86766835e-06         -1.73928658e-05
    96         7.66993233e-06         -1.70540553e-05
    97         7.52323344e-06         -1.65344507e-05
    98         7.42153663e-06         -1.58000743e-05
    99         7.35450091e-06         -1.48184580e-05
   100         8.84759347e-06         -1.90011429e-05
   101         8.60648190e-06         -1.87886303e-05
   102         8.35925267e-06         -1.86542058e-05
   103         8.12467780e-06         -1.85131627e-05
   104         7.91701487e-06         -1.83022650e-05
   105         7.74535316e-06         -1.79738437e-05
   106         7.61395884e-06         -1.74894950e-05
   107         7.52235609e-06         -1.68137702e-05
   108         7.46470732e-06         -1.59130106e-05
   109         8.58940590e-06         -1.99536243e-05
   110         8.40490412e-06         -1.96670595e-05
   111         8.21447807e-06         -1.94737832e-05
   112         8.02955014e-06         -1.92958664e-05
   113         7.86070642e-06         -1.90725692e-05
   114         7.71609921e-06         -1.87563820e-05
   115         7.60157877e-06         -1.83097431e-05
   116         7.52093976e-06         -1.76982083e-05
   117         7.47266702e-06         -1.68850727e-05
   118         8.27085367e-06         -2.06876222e-05
   119         8.13682626e-06         -2.03607319e-05
   120         7.99602924e-06         -2.01296078e-05
   121         7.85399152e-06         -1.99272230e-05
   122         7.71891346e-06         -1.96982629e-05
   123         7.59843474e-06         -1.93971104e-05
   124         7.49885543e-06         -1.89889703e-05
   125         7.42692098e-06         -1.84448744e-05
   126         7.38651346e-06         -1.77280045e-05
   127         7.92003253e-06         -2.12008890e-05
   128         7.83129385e-06         -2.08630421e-05
   129         7.73274545e-06         -2.06124527e-05
   130         7.62544017e-06         -2.03977897e-05
   131         7.51569653e-06         -2.01709212e-05
   132         7.41165482e-06         -1.98890836e-05
   133         7.32157349e-06         -1.95191265e-05
   134         7.25360175e-06         -1.90409011e-05
   135         7.21808884e-06         -1.84290686e-05
   136         7.56506964e-06         -2.14987673e-05
   137         7.51774413e-06         -2.11701340e-05
   138         7.45646498e-06         -2.09141650e-05
   139         7.37706224e-06         -2.06971644e-05
   140         7.28215765e-06         -2.04788042e-05
   141         7.18026436e-06         -2.02207581e-05
   142         7.08492200e-06         -1.98910890e-05
   143         7.01196046e-06         -1.94709719e-05
   144         6.97755355e-06         -1.89636861e-05
   145         7.21960259e-06         -2.15966179e-05
   146         7.22106211e-06         -2.12838779e-05
   147         7.20360062e-06         -2.10309769e-05
   148         7.15200685e-06         -2.08162026e-05
   149         7.06308893e-06         -2.06076323e-05
   150         6.94440148e-06         -2.03733986e-05
   151         6.81297047e-06         -2.00853313e-05
   152         6.69693943e-06         -1.97227312e-05
   153         6.64271856e-06         -1.92909520e-05
节点应力  单位：N/m^2
  节点号         x方向正应力               y方向正应力               剪应力
     1        -1.52073732e+04         -7.58547419e+04          6.59237082e+04
     2        -3.26372409e+04         -1.62795339e+05          4.08193958e+04
     3        -3.33031300e+04         -1.66116810e+05          3.66177991e+04
     4        -3.31638618e+04         -1.65422137e+05          3.46985665e+04
     5        -3.20723159e+04         -1.59977480e+05          3.42816569e+04
     6        -3.03525557e+04         -1.51399275e+05          3.49193704e+04
     7        -2.78467110e+04         -1.38900061e+05          3.62552556e+04
     8        -2.41902226e+04         -1.20661410e+05          3.77539703e+04
     9        -1.81495902e+04         -9.05305909e+04          3.70627656e+04
    10        -5.15684165e+04         -1.02050072e+05          3.82169974e+04
    11        -4.91289903e+04         -1.54483943e+05          3.30914464e+04
    12        -3.59697792e+04         -1.60501128e+05          3.58617858e+04
    13        -3.33559842e+04         -1.59160383e+05          3.44291888e+04
    14        -3.07192222e+04         -1.53910631e+05          3.44532344e+04
    15        -2.79169010e+04         -1.45349762e+05          3.54137001e+04
    16        -2.48791907e+04         -1.32858594e+05          3.72109228e+04
    17        -2.24165896e+04         -1.14310170e+05          3.95834598e+04
    18        -1.82011753e+04         -8.65154340e+04          4.01324485e+04
    19        -5.98170549e+04         -1.31208901e+05          1.88021924e+04
    20        -5.28336178e+04         -1.37901156e+05          2.75384590e+04
    21        -4.12133903e+04         -1.48000891e+05          3.26307959e+04
    22        -3.37480047e+04         -1.46911135e+05          3.26911407e+04
    23        -2.96926009e+04         -1.42704031e+05          3.27266135e+04
    24        -2.61607140e+04         -1.35303397e+05          3.35758389e+04
    25        -2.31307954e+04         -1.24312966e+05          3.52106136e+04
    26        -2.12171820e+04         -1.07879413e+05          3.77705217e+04
    27        -1.83944824e+04         -8.65954637e+04          3.92842475e+04
    28        -6.08194182e+04         -1.41793791e+05          1.09164562e+04
    29        -5.37015507e+04         -1.31256596e+05          1.97633537e+04
