节点位移  单位：m
  节点号         x方向位移               y方向位移
     1         6.21115440e-22         -4.07555456e-22
     2         7.31292032e-22         -1.35087296e-21
     3         6.81649919e-22         -1.62885429e-21
     4         6.39896976e-22         -1.71127253e-21
     5         6.14926369e-22         -1.74279028e-21
     6         5.96957745e-22         -1.74716113e-21
     7         5.85171859e-22         -1.73575432e-21
     8         5.78340437e-22         -1.71337998e-21
     9         5.75857470e-22         -1.68240711e-21
    10         5.77242208e-22         -1.64388002e-21
    11         5.82109017e-22         -1.59807412e-21
    12         5.90100961e-22         -1.54471877e-21
    13         6.00839396e-22         -1.48306666e-21
    14         6.13843464e-22         -1.41185260e-21
    15         6.28371848e-22         -1.32915204e-21
    16         6.43091197e-22         -1.23203931e-21
    17         6.55157738e-22         -1.11616266e-21
    18         6.56570319e-22         -9.71408546e-22
    19         8.15061628e-22         -1.29527455e-21
    20         1.51350289e-06         -2.17987975e-07
    21         9.56407429e-07         -1.09456563e-06
    22         8.44093380e-07         -1.21768837e-06
    23         7.81348412e-07         -1.28570170e-06
    24         7.42113445e-07         -1.31095445e-06
    25         7.16238750e-07         -1.31837199e-06
    26         6.99311469e-07         -1.31438013e-06
    27         6.89311026e-07         -1.30270877e-06
    28         6.85016422e-07         -1.28501304e-06
    29         6.85632583e-07         -1.26203760e-06
    30         6.90557578e-07         -1.23394061e-06
    31         6.99274079e-07         -1.20046843e-06
    32         7.11261424e-07         -1.16100144e-06
    33         7.25892585e-07         -1.11452219e-06
    34         7.42260683e-07         -1.05949529e-06
    35         7.58850850e-07         -9.93661759e-07
    36         7.72695358e-07         -9.13393982e-07
    37         7.77821823e-07         -8.13573323e-07
    38         7.49037976e-07         -6.73050684e-07
    39         2.64605100e-06         -8.93297886e-07
    40         2.05920222e-06         -2.01226868e-06
    41         1.73673756e-06         -2.36875449e-06
    42         1.58691131e-06         -2.50182142e-06
    43         1.49274009e-06         -2.56189762e-06
    44         1.43098821e-06         -2.58149838e-06
    45         1.38998026e-06         -2.57790576e-06
    46         1.36414275e-06         -2.55839179e-06
    47         1.35028880e-06         -2.52666325e-06
    48         1.34636066e-06         -2.48436951e-06
    49         1.35085655e-06         -2.43198466e-06
    50         1.36252218e-06         -2.36914957e-06
    51         1.38014073e-06         -2.29479225e-06
    52         1.40231851e-06         -2.20708038e-06
    53         1.42717925e-06         -2.10321822e-06
    54         1.45180116e-06         -1.97900183e-06
    55         1.47118485e-06         -1.82800370e-06
    56         1.47506931e-06         -1.63919139e-06
    57         1.44358113e-06         -1.38882931e-06
    58         3.63149746e-06         -1.79009601e-06
    59         3.06013726e-06         -2.92271676e-06
    60         2.64618705e-06         -3.43328637e-06
    61         2.39776437e-06         -3.65236880e-06
    62         2.24312058e-06         -3.75052093e-06
    63         2.13927853e-06         -3.78804821e-06
    64         2.06894141e-06         -3.78907837e-06
    65         2.02258826e-06         -3.76561584e-06
    66         1.99474379e-06         -3.72348357e-06
    67         1.98184659e-06         -3.66545294e-06
    68         1.98131396e-06         -3.59245782e-06
    69         1.99102580e-06         -3.50418156e-06
    70         2.00898355e-06         -3.39926225e-06
    71         2.03300070e-06         -3.27525898e-06
    72         2.06030803e-06         -3.12839061e-06
    73         2.08693766e-06         -2.95298166e-06
    74         2.10658311e-06         -2.74035787e-06
    75         2.10860130e-06         -2.47647196e-06
    76         2.07593484e-06         -2.13707834e-06
    77         4.49188871e-06         -2.79574188e-06
    78         3.95431125e-06         -3.86073568e-06
    79         3.50771935e-06         -4.44644248e-06
    80         3.19332345e-06         -4.73865411e-06
    81         2.98070149e-06         -4.87882299e-06
    82         2.83409149e-06         -4.93759113e-06
    83         2.73189154e-06         -4.94715699e-06
    84         2.66199849e-06         -4.92334650e-06
    85         2.61687637e-06         -4.87429809e-06
    86         2.59150940e-06         -4.80397867e-06
    87         2.58221502e-06         -4.71390976e-06
    88         2.58598319e-06         -4.60394702e-06
    89         2.60003335e-06         -4.47259474e-06
    90         2.62143741e-06         -4.31700635e-06
    91         2.64669191e-06         -4.13271207e-06
    92         2.67111494e-06         -3.91301419e-06
    93         2.68791868e-06         -3.64785621e-06
    94         2.68691086e-06         -3.32179997e-06
    95         2.65326186e-06         -2.91078540e-06
    96         5.24803815e-06         -3.85575313e-06
    97         4.74825388e-06         -4.82594211e-06
    98         4.29991977e-06         -5.43165424e-06
    99         3.94952854e-06         -5.77223813e-06
   100         3.69260131e-06         -5.95019075e-06
   101         3.50707820e-06         -6.03157007e-06
   102         3.37360521e-06         -6.05224872e-06
   103         3.27907405e-06         -6.03114379e-06
   104         3.21474634e-06         -5.97832703e-06
   105         3.17447613e-06         -5.89894724e-06
   106         3.15363428e-06         -5.79516101e-06
   107         3.14840542e-06         -5.66709565e-06
   108         3.15530255e-06         -5.51325881e-06
   109         3.17076255e-06         -5.33059135e-06
   110         3.19072370e-06         -5.11421778e-06
   111         3.21009471e-06         -4.85686135e-06
   112         3.22204307e-06         -4.54780548e-06
